P08908 5ht1a_human
T1QUE4 t1que4_9tele
A0A0B6VQT5 a0a0b6vqt5_mouse
A0A0D9SDW9 a0a0d9sdw9_chlsb
F1P9D6 f1p9d6_canfa
K4HGT1 k4hgt1_drono
G3W1F9 g3w1f9_sarha
F7GQD5 f7gqd5_macmu
G1S6S8 g1s6s8_nomle
U3IBZ9 u3ibz9_anapl
M4T854 m4t854_sheep
H0ZJ76 h0zj76_taegu
F7IRR1 f7irr1_calja
Q76LB9 q76lb9_parol
G1STT9 g1stt9_rabit
R4LDU8 r4ldu8_balmu
A0A8J4 a0a8j4_pig
E9Q968 e9q968_mouse
A0A077K926 a0a077k926_chick
H0WHG7 h0whg7_otoga
G1LQR4 g1lqr4_ailme
D2JZC3 d2jzc3_monsc
K7G539 k7g539_pelsi
G1Q031 g1q031_myolu
M0R9H7 m0r9h7_rat
Q8HXU3 q8hxu3_eupsx
L7TQI8 l7tqi8_9saur
U3D5K1 u3d5k1_calja
W5UJG9 w5ujg9_ictpu
P25107 pth1r_didvi
G1MHE5 g1mhe5_ailme
I3N566 i3n566_icttr
H9G390 h9g390_anoca
M3XJA8 m3xja8_latch
I3MGM6 i3mgm6_icttr
W5ZXH3 w5zxh3_9sala
F7HD60 f7hd60_macmu
G3TJY7 g3tjy7_loxaf
F1NIZ5 f1niz5_chick
Q8BVW4 q8bvw4_mouse
Q920Q5 q920q5_mouse
C7BBT2 c7bbt2_9neob
U3I627 u3i627_anapl
W5NZL6 w5nzl6_sheep
R0LM73 r0lm73_anapl
F2Y4S0 f2y4s0_mosmo
M3Y2S8 m3y2s8_muspf
H2R4H9 h2r4h9_pantr
V8PFZ6 v8pfz6_ophha
A0A096MKY2 a0a096mky2_papan
A0A0C5GFM7 a0a0c5gfm7_sheep
I3MIA5 i3mia5_icttr
I3M2I3 i3m2i3_icttr
O35797 o35797_rat
A5JTX3 a5jtx3_9gall
G1Q8Z9 g1q8z9_myolu
U3DWN6 u3dwn6_calja
F2Y5H9 f2y5h9_turad
M0R7K6 m0r7k6_rat
F6UTQ3 f6utq3_horse
G3UKR3 g3ukr3_loxaf
A0A087XFQ7 a0a087xfq7_poefo
A0A0D9SBQ7 a0a0d9sbq7_chlsb
U3I2B8 u3i2b8_anapl
G1PIC3 g1pic3_myolu
H0XKU8 h0xku8_otoga
M3W6K1 m3w6k1_felca
K7GEY3 k7gey3_pelsi
D2YYM9 d2yym9_9neob
F7J1Q6 f7j1q6_micok
H0ZQ52 h0zq52_taegu
Q99P14 q99p14_crigr
K4GTJ5 k4gtj5_9saur
Q76E63 q76e63_hylag
F1NKT4 f1nkt4_chick
Q646F1 ta2r4_papha
A0A0D9SBQ5 a0a0d9sbq5_chlsb
G3WSS6 g3wss6_sarha
C0M5K7 c0m5k7_9hyst
T2B163 t2b163_anapl
E7D0Z9 e7d0z9_lepca
M3Z8G0 m3z8g0_muspf
Q14T84 q14t84_cotja
A0A0D4CFA8 a0a0d4cfa8_copte
Q09H44 q09h44_macmu
A7KND2 a7knd2_thobo
V8NEN9 v8nen9_ophha
Q3HW25 q3hw25_pig
H2Q831 h2q831_pantr
I6Q0T0 i6q0t0_9saur
F7B7V9 f7b7v9_macmu
G3WVA4 g3wva4_sarha
Q9MZN4 q9mzn4_hylla
V8NHG5 v8nhg5_ophha
G3V8A8 g3v8a8_rat
A0A0G2KBD0 a0a0g2kbd0_pig
I3LTK7 i3ltk7_pig
G3M6A2 g3m6a2_glive
B3FFB0 b3ffb0_marmt
Q6K0L4 q6k0l4_botja
G1QDT8 g1qdt8_myolu
U3I3L7 u3i3l7_anapl
E9KW62 e9kw62_9saur
Q75ZH4 q75zh4_pig
D7PQX5 d7pqx5_galee
J9JHK2 j9jhk2_canfa
Q5MBX1 q5mbx1_colli
A0A093IWG4 a0a093iwg4_eurhl
J9NSD2 j9nsd2_canfa
A2TAI7 a2tai7_9sala
Q3V5L9 q3v5l9_chick
A4KTU0 a4ktu0_rante
D0V7B2 d0v7b2_lepsx
H5ZU14 h5zu14_9gobi
H9YZX8 h9yzx8_macmu
F7B1Q3 f7b1q3_horse
G3QL90 g3ql90_gorgo
B8JHS2 b8jhs2_danre
G3SHZ8 g3shz8_gorgo
F1MYI6 f1myi6_bovin
A0A096NQZ0 a0a096nqz0_papan
A0A093SXJ4 a0a093sxj4_phaca
G1TAG7 g1tag7_rabit
A0A096MKN2 a0a096mkn2_papan
H2P835 h2p835_ponab
F1RQB8 f1rqb8_pig
M3XDY4 m3xdy4_felca
K4KH77 k4kh77_utast
H2P2C4 h2p2c4_ponab
K7EUG7 k7eug7_ponab
P30936 ssr3_rat
U3KL67 u3kl67_fical
C0M5K1 c0m5k1_marmo
V9LT81 v9lt81_falch
Q66YJ5 q66yj5_annpu
Q3SX17 p2y14_bovin
F7HED3 f7hed3_macmu
F1S602 f1s602_pig
F6PT20 f6pt20_macmu
G3X2E7 g3x2e7_sarha
I7CHN2 i7chn2_9cich
G1L8M8 g1l8m8_ailme
G3QRW3 g3qrw3_gorgo
A0A096N536 a0a096n536_papan
F7FNN4 f7fnn4_ornan
Q95L55 ednra_sheep
F1NS14 f1ns14_chick
G3M746 g3m746_sacbi
A0A087XKP0 a0a087xkp0_poefo
E1BPQ3 gpc6a_bovin
K4GQQ4 k4gqq4_9saur
D8V2C8 d8v2c8_9neob
H2M2M6 h2m2m6_oryla
T2B0B8 t2b0b8_anapl
W5Q6X1 w5q6x1_sheep
H2QCS6 h2qcs6_pantr
F1M8N1 f1m8n1_rat
G1SFA9 g1sfa9_rabit
Q95NC6 ccr5_trajo
A0A0D9S6F8 a0a0d9s6f8_chlsb
Q28532 q28532_9prim
D2GV63 d2gv63_ailme
H2PB42 h2pb42_ponab
V5JDK4 v5jdk4_canfa
A0A0A0A1F5 a0a0a0a1f5_chavo
Q8MIE1 q8mie1_vicpa
H2R3S4 h2r3s4_pantr
A5A4L1 ghsr_muspf
J7LNW1 j7lnw1_9saur
G1QBD9 g1qbd9_myolu
Q3UN81 q3un81_mouse
G1L8M0 g1l8m0_ailme
A6XJZ5 a6xjz5_9neob
K4GQR3 k4gqr3_brafa
P79292 oprx_pig
Q27JC0 q27jc0_cotco
A6QLA5 a6qla5_bovin
G3VWK8 g3vwk8_sarha
K9LJB3 k9ljb3_9saur
W5PHQ1 w5phq1_sheep
D5FUH1 d5fuh1_pig
E1BXP5 e1bxp5_chick
P49287 mtr1b_rat
B3KM07 b3km07_plafe
Q6NYH8 q6nyh8_danre
Q0Q7W4 q0q7w4_perev
H0XG58 h0xg58_otoga
K4HGA6 k4hga6_elgmu
A6QL98 a6ql98_bovin
G1KF19 g1kf19_anoca
R4L862 r4l862_zipca
M3Z566 m3z566_muspf
F7HWH5 f7hwh5_calja
G3V933 g3v933_rat
F6S6N3 f6s6n3_calja
C5H7Z9 c5h7z9_9chir
F6XAP5 f6xap5_xentr
Q3UPP9 q3upp9_mouse
G3SLF4 g3slf4_loxaf
O35881 p2y14_rat
H0XXZ9 h0xxz9_otoga
A8CUJ4 a8cuj4_9neob
F6TJ51 f6tj51_ornan
F1NHA6 f1nha6_chick
Q91ZH4 q91zh4_rat
H2P2P3 h2p2p3_ponab
B9TRY1 b9try1_9tele
G1M026 g1m026_ailme
A0A089FJN2 a0a089fjn2_9saur
B4Z6P9 b4z6p9_psier
G3UAP7 g3uap7_loxaf
O16020 opsd_proml
A2TAG4 a2tag4_9neob
G3M7R2 g3m7r2_hypms
A0A097BSF7 a0a097bsf7_bamth
Q8VIH9 ur2r_mouse
A0A0C5PN91 a0a0c5pn91_rhieu
P30543 aa2ar_rat
Q6XKD3 pd2r2_rat
Q99NT6 q99nt6_9hyst
J7LM97 j7lm97_9saur
R4L875 r4l875_9ceta
F1RLS0 f1rls0_pig
K7FBE9 k7fbe9_pelsi
A0A0F6QI31 a0a0f6qi31_9saur
S5ZRV3 s5zrv3_miimi
F1S2H5 f1s2h5_pig
F1N600 f1n600_bovin
G3T6D2 g3t6d2_loxaf
U3I440 u3i440_anapl
G3UWB6 g3uwb6_mouse
F5CB61 f5cb61_sotfl
Q863I4 grm6_rabit
J7LJB4 j7ljb4_9saur
G1FKY0 g1fky0_cavpo
E9KVY9 e9kvy9_9saur
A0A087XAL8 a0a087xal8_poefo
G1L491 g1l491_ailme
H5ZTY3 h5zty3_9gobi
T1QV60 t1qv60_9pleu
X2KKS4 x2kks4_astae
B9UMA2 b9uma2_chema
A0A087XU28 a0a087xu28_poefo
D2WK16 d2wk16_9chir
H3DDN1 h3ddn1_tetng
H0X494 h0x494_otoga
A8QXR1 a8qxr1_cersi
G1R692 g1r692_nomle
H6BFP0 h6bfp0_ctepe
M3YV27 m3yv27_muspf
E9KW39 e9kw39_9saur
T1QV22 t1qv22_arnim
G1N336 g1n336_melga
G5CVN7 g5cvn7_hetga
U3I8V3 u3i8v3_anapl
A0A0A7HD79 a0a0a7hd79_9saur
H9GIP4 h9gip4_anoca
G9CTT5 g9ctt5_9euth
F6YQJ8 f6yqj8_horse
B4Z6S2 b4z6s2_9aves
R4L1U5 r4l1u5_berbi
Q9TUT3 q9tut3_macne
A0A0E3IS29 a0a0e3is29_9euth
I0CJW0 i0cjw0_9tele
Q58TD1 q58td1_9gobi
A0A087QPG5 a0a087qpg5_aptfo
W5UCJ8 w5ucj8_ictpu
F7IRI3 f7iri3_calja
O42574 adrb1_xenla
K7F3E7 k7f3e7_pelsi
D2WK10 d2wk10_9chir
F7I1N0 f7i1n0_calja
Q1LZD0 aa2br_bovin
I3MX36 i3mx36_icttr
W5U6C7 w5u6c7_ictpu
V8NM97 v8nm97_ophha
H2QHG1 h2qhg1_pantr
G3RDT0 g3rdt0_gorgo
F6WWY6 f6wwy6_horse
B0S4P4 b0s4p4_macmu
A0A0D9SCB3 a0a0d9scb3_chlsb
A0A096NF12 a0a096nf12_papan
G1SYT0 g1syt0_rabit
F6Q0D9 f6q0d9_mondo
U3I5Q7 u3i5q7_anapl
G3W1E1 g3w1e1_sarha
A0A077D5D8 a0a077d5d8_bosin
M3YSK5 m3ysk5_muspf
H0ZG81 h0zg81_taegu
D5XMA6 d5xma6_zonal
Q6P8H4 q6p8h4_mouse
F1P3G9 f1p3g9_chick
Q588Y6 5ht1b_felca
Q4U3W9 q4u3w9_mesau
W5Q8C2 w5q8c2_sheep
K7GAT9 k7gat9_pelsi
K7R9R6 k7r9r6_9saur
Q6JXL2 q6jxl2_bovin
Q17292 opsd_camat
Q9MZP4 q9mzp4_trafr
G3SRP4 g3srp4_loxaf
H9ZD71 h9zd71_macmu
H2QN61 h2qn61_pantr
G3P1Z6 g3p1z6_gasac
H2PFE7 h2pfe7_ponab
H0YP24 h0yp24_taegu
Q864K4 mshr_miota
W5N1L6 w5n1l6_lepoc
Q9Z2I3 ccr3_cavpo
F7IRN9 f7irn9_calja
F1SMV8 f1smv8_pig
A0A0D9SEB2 a0a0d9seb2_chlsb
F1PR42 f1pr42_canfa
K4GQY9 k4gqy9_helhr
B3FFA3 b3ffa3_muspu
E7F7E9 e7f7e9_danre
W5LQD3 w5lqd3_astmx
M3XVF6 m3xvf6_muspf
U3JUD1 u3jud1_fical
P79218 nk2r_rabit
Q498S8 fzd8_rat
P07700 adrb1_melga
E9KVY1 e9kvy1_9saur
G3TSN3 g3tsn3_loxaf
G3S977 g3s977_gorgo
G4XKJ1 g4xkj1_9saur
F1SL79 f1sl79_pig
Q3U5H1 q3u5h1_mouse
F7GH50 f7gh50_calja
Q499E3 q499e3_mouse
C0KV67 c0kv67_pantr
H0VKF0 h0vkf0_cavpo
F7D960 f7d960_macmu
Q5G6Q0 q5g6q0_myoda
F6PNQ3 f6pnq3_ornan
Q95NC2 ccr5_calmo
A0A087Y299 a0a087y299_poefo
R9REZ2 r9rez2_9saur
K4GUT6 k4gut6_9saur
K4HHI0 k4hhi0_9saur
P43117 pf2r_mouse
G1M466 g1m466_ailme
A0A096MVQ4 a0a096mvq4_papan
M3YMF8 m3ymf8_muspf
P22671 opsd_letca
H2UFZ6 h2ufz6_takru
V8NR11 v8nr11_ophha
F2XHA5 f2xha5_9gobi
V9PWC8 v9pwc8_9neob
H2FF95 h2ff95_9saur
Q153X3 q153x3_9cara
I3MAW4 i3maw4_icttr
B3VRE6 b3vre6_panpa
G5CVL1 g5cvl1_capmr
B2RQ47 b2rq47_mouse
A0A0D4CEB5 a0a0d4ceb5_petth
H2QJK8 h2qjk8_pantr
V8NQF0 v8nqf0_ophha
C5I7W3 c5i7w3_9ceta
F7F741 f7f741_mondo
B2GUH7 b2guh7_xentr
H0YZZ7 h0yzz7_taegu
R9XMN6 r9xmn6_9saur
G1NRR7 g1nrr7_melga
A0A0B2UX94 a0a0b2ux94_toxca
Q865E1 q865e1_macmu
Q3V392 q3v392_mouse
G3M719 g3m719_isoma
U6DW31 u6dw31_neovi
D2HD89 d2hd89_ailme
G3RMQ5 g3rmq5_gorgo
H2MD52 h2md52_oryla
O62795 opsd_paggo
U3FTN2 u3ftn2_calja
Q6QZT7 q6qzt7_ansce
U3BLR3 u3blr3_calja
B6ZGR4 b6zgr4_muspl
P49912 opsd_rabit
F1QB56 f1qb56_danre
I3Y3D7 i3y3d7_9saur
M3Z765 m3z765_muspf
I3N638 i3n638_icttr
G3SSF6 g3ssf6_loxaf
K4HHD5 k4hhd5_leibe
K7B3X9 k7b3x9_pantr
F7HEV7 f7hev7_macmu
H2PJA0 h2pja0_ponab
T1QUY3 t1quy3_9tele
H9B822 h9b822_9saur
A0A096NG28 a0a096ng28_papan
F7BAU2 f7bau2_macmu
Q8BS98 q8bs98_mouse
Q7ZTA2 q7zta2_danre
H2Q8R0 h2q8r0_pantr
P79812 opsd_neosa
O77808 v2r_canfa
B4Z6H6 b4z6h6_corcu
H7BS04 h7bs04_9tele
U3ICY4 u3icy4_anapl
H2PFX0 h2pfx0_ponab
Q9GKA0 q9gka0_canfa
H7BS60 h7bs60_9tele
Q5IS39 oprm_pantr
B2RU75 b2ru75_mouse
O02813 npy1r_canfa
F7GZF4 f7gzf4_calja
D8KWH6 d8kwh6_zonal
J7M4A4 j7m4a4_pantr
H2RAB4 h2rab4_pantr
G3W1V5 g3w1v5_sarha
B1AYN8 b1ayn8_mouse
P31356 opsd_todpa
U3F3M5 u3f3m5_calja
G3WAF3 g3waf3_sarha
B2LYF1 b2lyf1_colli
G3WKC6 g3wkc6_sarha
A0A088SD72 a0a088sd72_phyds
I3NBR3 i3nbr3_icttr
Q0Q7Z6 q0q7z6_perer
U3FMV0 u3fmv0_calja
E1C095 e1c095_chick
G1N275 g1n275_melga
G8Z416 g8z416_9prim
H0W0H9 h0w0h9_cavpo
Q4VJB5 q4vjb5_ailme
G3X031 g3x031_sarha
M0RD53 m0rd53_rat
B6CGV9 b6cgv9_pig
P79176 fpr1_gorgo
X2CCZ1 x2ccz1_chlae
G1NCH9 g1nch9_melga
H0YQL1 h0yql1_taegu
A0A087YRH9 a0a087yrh9_poefo
Q28468 ednrb_macfa
C7BBR9 c7bbr9_9neob
C0M5M1 c0m5m1_9euth
A0A0D4CEB1 a0a0d4ceb1_copte
G3VUA6 g3vua6_sarha
D9YL98 d9yl98_phytm
A0A0D9S942 a0a0d9s942_chlsb
F1NWG3 f1nwg3_chick
F1Q1H9 f1q1h9_canfa
Q29005 5ht2b_pig
M3W9B6 m3w9b6_felca
H2LMC1 h2lmc1_oryla
U3K7P3 u3k7p3_fical
Q6WN92 q6wn92_leoro
H2QG26 h2qg26_pantr
B9TS16 b9ts16_9tele
Q801M1 cnr1_xenla
Q7TQB8 t2r40_mouse
E2ELV3 e2elv3_9rode
Q2M4A2 q2m4a2_pig
G3RT09 g3rt09_gorgo
G3M6C9 g3m6c9_antam
Q80SS6 gpbar_mouse
G1EFK6 g1efk6_notfu
G3V6I7 g3v6i7_rat
A0A096MQK5 a0a096mqk5_papan
G8Z422 g8z422_rhiro
H2QA92 h2qa92_pantr
Q8BK41 q8bk41_mouse
H7BRS7 h7brs7_9tele
A0A0G2K0F0 a0a0g2k0f0_rat
K4HGG5 k4hgg5_latco
G3QT70 g3qt70_gorgo
W0B3S6 w0b3s6_9saur
G1P7C1 g1p7c1_myolu
R4G9L5 r4g9l5_anoca
G3SV07 g3sv07_loxaf
D5JGF8 d5jgf8_chick
B0FSM6 b0fsm6_rabit
F6YHG4 f6yhg4_horse
D8KZH9 d8kzh9_macmu
F6WW54 f6ww54_mondo
H2P9P0 h2p9p0_ponab
F7AX42 f7ax42_mondo
G1S3C6 g1s3c6_nomle
P41232 p2ry2_rat
I3LT62 i3lt62_pig
G3M7T9 g3m7t9_embat
M3Z5Y2 m3z5y2_muspf
M0R834 m0r834_rat
M3YJB3 m3yjb3_muspf
H2NMF4 h2nmf4_ponab
S4X0Q8 agra3_danre
M4WP52 m4wp52_rupru
A0A0C9RH27 a0a0c9rh27_9hyme
M3Z6I5 m3z6i5_muspf
G3NE30 g3ne30_gasac
F7F7X9 f7f7x9_calja
F1P3Y2 f1p3y2_chick
K4HG89 k4hg89_leibe
A2T0N1 a2t0n1_ponpy
B4Z6P6 b4z6p6_podst
M3WEK3 m3wek3_felca
W5P4D1 w5p4d1_sheep
Q59I38 q59i38_synch
Q1AG25 q1ag25_rabit
A0A075DCC7 a0a075dcc7_colli
A0A096N0M3 a0a096n0m3_papan
H0ZL56 h0zl56_taegu
A0A0C5Q9H6 a0a0c5q9h6_nycal
F7GW69 f7gw69_macmu
Q95LF9 ackr1_gorgo
B8QCL6 b8qcl6_9saur
G1RLN8 g1rln8_nomle
Q646F9 t2r31_papha
F7FM99 f7fm99_ornan
A0A0D9RW55 a0a0d9rw55_chlsb
I3KS15 i3ks15_oreni
G5CVV8 g5cvv8_escro
O42604 opsd_zeufa
E2RGU8 e2rgu8_canfa
Q0EAB5 5ht1b_horse
G9CTT7 g9ctt7_equhm
K4GTL4 k4gtl4_9saur
V8P7Y4 v8p7y4_ophha
M3X5B3 m3x5b3_felca
Q9BG39 q9bg39_trima
G1NA00 g1na00_melga
C7BBT8 c7bbt8_bufga
H0XG75 h0xg75_otoga
A0A089FHJ3 a0a089fhj3_9saur
K7GDR5 k7gdr5_pelsi
A0A0C5PNC3 a0a0c5pnc3_9chir
B4Z6M3 b4z6m3_9aves
P30987 ta2r_mouse
H2QG27 h2qg27_pantr
H0VVZ2 h0vvz2_cavpo
P22332 opsr_astfa
Q9TSN3 q9tsn3_macfa
B9VUB9 b9vub9_caimo
M3YSA9 m3ysa9_muspf
F1SFF0 f1sff0_pig
C5H802 c5h802_megsp
C5I7X6 c5i7x6_cepdo
A8CUC7 a8cuc7_9neob
G3QZG4 g3qzg4_gorgo
A0A096NJL8 a0a096njl8_papan
F7BXC5 f7bxc5_ornan
K4GQJ8 k4gqj8_9saur
A7LCT6 a7lct6_anapl
F7E1K8 f7e1k8_xentr
U3DMV0 u3dmv0_calja
F5CB54 f5cb54_turtr
F7IPY9 f7ipy9_calja
F6UAP9 f6uap9_horse
G1U308 g1u308_rabit
W5P3D9 w5p3d9_sheep
A5A4K8 a5a4k8_rabit
G3WNI1 g3wni1_sarha
I3Y3D6 i3y3d6_9saur
H0XTH1 h0xth1_otoga
K4K3I9 k4k3i9_utast
B8QCM9 b8qcm9_colco
V8NDV3 v8ndv3_ophha
Q95NC8 ccr5_colpo
B8QCN9 b8qcn9_latco
G1TZ41 g1tz41_rabit
A0A089FLJ8 a0a089flj8_9saur
A0A0F7VM82 a0a0f7vm82_angan
Q9BFG2 q9bfg2_talal
H0WPU9 h0wpu9_otoga
G9CHT8 g9cht8_9neob
Q67ER9 t2r39_rat
A5X7H6 a5x7h6_nasna
A0A089GM73 a0a089gm73_eutmu
G3S9M5 g3s9m5_gorgo
F7CK38 f7ck38_horse
G1KQ18 g1kq18_anoca
E1BUF7 e1buf7_chick
F7B625 f7b625_horse
M3X7N7 m3x7n7_felca
A4ZIS8 a4zis8_ornan
E5RVJ6 e5rvj6_chick
K4GUX8 k4gux8_aspme
V5JDI6 v5jdi6_canfa
K4HGT3 k4hgt3_eubma
T1QVQ4 t1qvq4_9tele
C6G964 c6g964_rat
R9TMR0 r9tmr0_9saur
Q66XQ4 q66xq4_sceun
P79350 oprm_bovin
G3SFI9 g3sfi9_gorgo
X2CFB1 x2cfb1_macmr
H2P6R9 h2p6r9_ponab
G3UIC1 g3uic1_loxaf
A0A068BDA2 a0a068bda2_leoro
W0HI27 w0hi27_koble
I3N6X6 i3n6x6_icttr
Q5UC02 q5uc02_alech
D2H6U2 d2h6u2_ailme
Q6WN95 q6wn95_leoch
G1SPV7 g1spv7_rabit
F6YY18 f6yy18_macmu
H0V132 h0v132_cavpo
G3VVR1 g3vvr1_sarha
F7GN09 f7gn09_calja
H2PCW8 h2pcw8_ponab
D4AA67 d4aa67_rat
H2NYG2 h2nyg2_ponab
G3SU22 g3su22_loxaf
G3R8K3 g3r8k3_gorgo
U3IWC4 u3iwc4_anapl
W5PXS2 w5pxs2_sheep
W0AY36 w0ay36_9saur
H0Y0Y8 h0y0y8_otoga
F7AVX3 f7avx3_horse
Q6TLJ0 drd4_muspf
R0JXI2 r0jxi2_anapl
F1RS70 f1rs70_pig
G5CVN6 g5cvn6_glive
E7FE45 e7fe45_danre
A6XJY7 a6xjy7_9neob
H3A145 h3a145_latch
F6T364 f6t364_xentr
H2PHP1 h2php1_ponab
Q5QD23 taar5_rat
G9CTS5 g9cts5_dicsu
H9GBC0 h9gbc0_anoca
G3T8R1 g3t8r1_loxaf
W5Q6M4 w5q6m4_sheep
D3JHH0 d3jhh0_9saur
B8QCL5 b8qcl5_anoca
U3MP99 u3mp99_9pass
H2NEL1 h2nel1_ponab
A5HTT8 a5htt8_anapl
D0V7B6 d0v7b6_penfu
G1T3C6 g1t3c6_rabit
V5UY36 v5uy36_9saur
G4XKD1 g4xkd1_9saur
K7F177 k7f177_pelsi
K4PMI9 k4pmi9_micmu
U3I3B4 u3i3b4_anapl
F7H8T7 f7h8t7_calja
A6XJZ3 a6xjz3_9neob
A0A068BIY3 a0a068biy3_9prim
Q0V981 q0v981_xentr
G3VJE9 g3vje9_sarha
H3ABU4 h3abu4_latch
B0L5P5 b0l5p5_scomx
I7D598 i7d598_9cich
G3MX74 g3mx74_bovin
F6VJS7 f6vjs7_horse
E9KW72 e9kw72_xanvi
K4K3K4 k4k3k4_utast
I6UMD1 i6umd1_9saur
G1QI92 g1qi92_nomle
I3XHQ7 i3xhq7_chick
B7TVK9 b7tvk9_perpl
A0A094KKP3 a0a094kkp3_9aves
M3Z5I8 m3z5i8_muspf
F6X011 f6x011_mondo
G3W3U4 g3w3u4_sarha
F7GAZ9 f7gaz9_macmu
Q76LC0 q76lc0_parol
A5A4U2 a5a4u2_equas
B4Z6F6 b4z6f6_9aves
F1SJN0 f1sjn0_pig
E9KW12 e9kw12_9saur
D5XMG7 d5xmg7_zonal
F1N454 f1n454_bovin
K4GUV9 k4guv9_9saur
G1N345 g1n345_melga
F7DV77 f7dv77_ornan
F7DVD0 f7dvd0_calja
G1KTW1 g1ktw1_anoca
G3SEW2 g3sew2_gorgo
G5CX60 g5cx60_capmr
F6KXF0 f6kxf0_sheep
A0A096N6B7 a0a096n6b7_papan
M3Y2T7 m3y2t7_muspf
Q5IWP6 q5iwp6_pig
I1VSA4 i1vsa4_9sylv
F1PRD6 f1prd6_canfa
F7G113 f7g113_macmu
I3LFB5 i3lfb5_pig
E7FE13 lgr4_danre
F7DLP4 f7dlp4_macmu
Q60474 ada2a_cavpo
H3A3T7 h3a3t7_latch
O18312 opsd_camhu
G1U4Q3 g1u4q3_rabit
G1NS17 g1ns17_melga
F7B1J6 f7b1j6_horse
P0C5I1 gpr25_mouse
U3JBY1 u3jby1_fical
A0A0B2VR57 a0a0b2vr57_toxca
D9MN72 d9mn72_thoni
H7BRZ9 h7brz9_9tele
F6SWV0 f6swv0_horse
A0A096N0F7 a0a096n0f7_papan
D3JHD2 d3jhd2_9saur
Q9TUT1 q9tut1_macne
H2PBR9 h2pbr9_ponab
Q9YGZ4 opsd_dicla
C6ENW2 c6enw2_rante
H7BS28 h7bs28_9tele
I3MIP5 i3mip5_icttr
B0LJU4 b0lju4_9embe
T1QV48 t1qv48_9pleu
F7EG22 f7eg22_mondo
G1MGL8 g1mgl8_ailme
H0Z0N1 h0z0n1_taegu
I3MGE2 i3mge2_icttr
H7BRR3 h7brr3_9tele
G3TNM1 g3tnm1_loxaf
W5M7L9 w5m7l9_lepoc
B1GVI5 b1gvi5_cragi
A0A087YII2 a0a087yii2_poefo
A4Q8V9 a4q8v9_hetga
G3S8S2 g3s8s2_gorgo
G1P6Q9 g1p6q9_myolu
U3JI30 u3ji30_fical
A0A0F6N0N4 a0a0f6n0n4_vulvu
V8P8A6 v8p8a6_ophha
F6PT95 f6pt95_calja
Q7YS92 cxcr4_tupch
K7ARJ1 k7arj1_pantr
W5PRS2 w5prs2_sheep
P47747 hrh2_cavpo
A0A075DCT9 a0a075dct9_colli
C5HF06 c5hf06_bovin
A2TAG8 a2tag8_9amph
I6PZN5 i6pzn5_9saur
A0A096N8C3 a0a096n8c3_papan
H0X3Z0 h0x3z0_otoga
D2YYN8 d2yyn8_eupcp
Q8BGE9 rl3r1_mouse
H7BS62 h7bs62_9tele
D2HTA1 d2hta1_ailme
G7Z1I5 g7z1i5_merun
G1R6R8 g1r6r8_nomle
I3LLU5 i3llu5_pig
C7BBR1 c7bbr1_9neob
B1B1A4 b1b1a4_mouse
G1QK64 g1qk64_nomle
G1TEI7 g1tei7_rabit
G1P199 g1p199_myolu
D2YYN9 d2yyn9_9neob
D9YL58 d9yl58_9neob
U3JUJ0 u3juj0_fical
H2NCI4 h2nci4_ponab
O08893 calcr_cavpo
A0A0D9RA40 a0a0d9ra40_chlsb
B4Z6Q2 b4z6q2_pufgi
O35161 celr1_mouse
H9GPX2 h9gpx2_anoca
P97842 p97842_rat
A8D388 a8d388_vicpa
E7D100 e7d100_lepsx
O35786 cml1_rat
F6TFU8 f6tfu8_horse
P0C0W8 gp139_rat
G5CVR7 g5cvr7_okajo
H7BS45 h7bs45_9tele
H0UWL6 h0uwl6_cavpo
A0A0G2K505 a0a0g2k505_rat
Q864H3 mshr_sagge
T1QUF8 t1quf8_9tele
G3UT61 g3ut61_melga
Q3UQ27 q3uq27_mouse
K4HHB7 k4hhb7_9saur
H9B820 h9b820_9saur
Q53Z46 q53z46_mouse
H2NEZ8 h2nez8_ponab
G8HV80 g8hv80_bufbu
M1R1N5 m1r1n5_canfa
V6BQ54 v6bq54_9euth
D4A144 d4a144_rat
G3TMT1 g3tmt1_loxaf
G1R721 g1r721_nomle
W5ZXJ2 w5zxj2_salsl
B5X4P0 b5x4p0_salsa
H2ULF9 h2ulf9_takru
H3AI31 h3ai31_latch
A4KTS9 a4kts9_9neob
K7F114 k7f114_pelsi
I3NGA2 i3nga2_icttr
Q3SAG9 gpr34_panpa
F7D3V7 f7d3v7_horse
A8CUF1 a8cuf1_rhiae
D6C694 d6c694_9dend
Q3UY46 q3uy46_mouse
G9CTT2 g9ctt2_horse
M3YUG1 m3yug1_muspf
A0A0C5Q9I6 a0a0c5q9i6_9chir
F6S6J6 f6s6j6_mondo
H3BDP9 h3bdp9_latch
Q5FW61 q5fw61_mouse
H9F137 h9f137_macmu
H7BRU9 h7bru9_9tele
B9TRY8 b9try8_9tele
P04274 adrb2_mesau
A0A076MG35 a0a076mg35_epiae
F7CBS2 f7cbs2_mondo
F7A186 f7a186_horse
H3A3A4 h3a3a4_latch
Q5BKI9 q5bki9_xentr
K4GTL0 k4gtl0_croco
H2T763 h2t763_takru
A0A093EWI6 a0a093ewi6_tytal
H2RHW7 h2rhw7_pantr
Q9BG49 q9bg49_chodi
Q6R318 q6r318_rat
G3MYN7 g3myn7_bovin
A3KF59 a3kf59_macfa
